CODE	SUBSTANCE_EN	SUBSTANCE_FR	CAS
"S086"	"Speciated VOC - Beta-Pinene"	"bêta-Pinène"	"127-91-3"
"S066"	"Speciated VOC - Butane (all isomers)"	"Butane (tous les isomères)"	"NA - 24"
"S120"	"Speciated VOC - Butene (all isomers)"	"Butène (tous les isomères)"	"25167-67-3"
"S132"	"Speciated VOC - Chlorobenzene"	"Chlorobenzène"	"108-90-7"
"S131"	"Speciated VOC - Creosote"	"Créosote"	"8001-58-9"
"S135"	"Speciated VOC - Cycloheptane (all isomers)"	"Cycloheptane (tous les isomères)"	"NA - 25"
"S044"	"Speciated VOC - Cyclohexene (all isomers)"	"Cyclohexène (tous les isomères)"	"NA - 26"
"S121"	"Speciated VOC - Cyclooctane (all isomers)"	"Cyclooctane (tous les isomères)"	"NA - 27"
"S052"	"Speciated VOC - D-Limonene"	"D-Limonène"	"5989-27-5"
"S122"	"Speciated VOC - Decane (all isomers)"	"Décane (tous les isomères)"	"NA - 28"
"S009"	"Speciated VOC - Diethylene glycol butyl ether"	"Ether de diéthylène glycol monobutylique"	"112-34-5"
"S019"	"Speciated VOC - Diethylene glycol ethyl ether acetate"	"Acétate monoéthylique du diéthylène glycol"	"112-15-2"
"S136"	"Speciated VOC - Dihydronapthalene (all isomers)"	"Dihydronaphtalène (tous les isomères)"	"NA - 29"
"S117"	"Speciated VOC - Dimethylether"	"Diméthyléther"	"115-10-6"
"S142"	"Speciated VOC - Dodecane (all isomers)"	"Dodécane (tous les isomères)"	"NA - 30"
"S020"	"Speciated VOC - Ethyl Alcohol"	"Ethanol"	"64-17-5"
"S010"	"Speciated VOC - Ethyl acetate"	"Acétate d'éthyle"	"141-78-6"
"S104"	"Speciated VOC - Ethylene"	"Ethylène"	"74-85-1"
"S007"	"Speciated VOC - Ethylene glycol butyl ether acetate"	"Acétate de l'éther monobutylique d'éthylène glycol"	"112-07-2"
"S062"	"Speciated VOC - Ethylene glycol hexyl ether"	"Ether monohexylique d'éthylène glycol"	"112-25-4"
"S021"	"Speciated VOC - Formaldehyde"	"Formaldéhyde"	"50-00-0"
"S048"	"Speciated VOC - Furfuryl alcohol"	"Alcool furfurylique"	"98-00-0"
"S022"	"Speciated VOC - Heavy alkylate naphtha"	"Naphta de pétrole (fraction des alkylés lourds)"	"64741-65-7"
"S023"	"Speciated VOC - Heavy aromatic solvent naphtha"	"Solvant naphta aromatique lourd"	"64742-94-5"
"S057"	"Speciated VOC - Heptane (all isomers)"	"Heptane (tous les isomères)"	"NA - 31"
"S067"	"Speciated VOC - Hexane (all isomers excluding n-Hexane)"	"Hexane (voir référence 98)"	"NA - 32"
"S068"	"Speciated VOC - Hexene (all isomers)"	"Hexène (tous les isomères)"	"25264-93-1"
"S011"	"Speciated VOC - Hydrotreated heavy naphtha"	"Distillat de pétrole (naphta, fraction lourde hydrotraitée)"	"64742-48-9"
"S034"	"Speciated VOC - Hydrotreated light distillate"	"Distillats de pétrole (fraction légère hydrotraitée)"	"64742-47-8"
"S012"	"Speciated VOC - Isopropyl alcohol"	"Alcool isopropylique"	"67-63-0"
"S013"	"Speciated VOC - Light aromatic solvent naphtha"	"Solvant naphta aromatique léger"	"64742-95-6"
"S014"	"Speciated VOC - Methanol"	"Méthanol"	"67-56-1"
"S015"	"Speciated VOC - Methyl ethyl ketone"	"Méthyléthylcétone"	"78-93-3"
"S016"	"Speciated VOC - Methyl isobutyl ketone"	"Méthylisobutylcétone"	"108-10-1"
"S137"	"Speciated VOC - Methylindan (all isomers)"	"Méthylindane (tous les isomères)"	"27133-93-3"
"S024"	"Speciated VOC - Mineral spirits"	"Essences minérales"	"64475-85-0"
"S138"	"Speciated VOC - Myrcene"	"Myrcène"	"123-35-3"
"S053"	"Speciated VOC - Naphtha"	"Naphta"	"8030-30-6"
"S123"	"Speciated VOC - Nonane (all isomers)"	"Nonane (tous les isomères)"	"NA - 33"
"S124"	"Speciated VOC - Octane (all isomers)"	"Octane (tous les isomères)"	"NA - 34"
"S069"	"Speciated VOC - Pentane (all isomers)"	"Pentane (tous les isomères)"	"NA - 35"
